pdf,text
Ray Chapter 12 PLACED ON A LITTLE SPOT.pdf,"Chapter
 
12
 
PLACED
 
ON
 
A
 
LITTLE
 
SPOT
 
 
[O]ur
 
families
 
are
 
well,
 
our
 
people
 
have
 
plenty
 
of
 
food,
 
but
 
how
 
long
 
this
 
will
 
last
 
we
 
know
 
not.
 
We
 
see
 
your
 
ships,
 
and
 
hear
 
things
 
that
 
make
 
our
 
hearts
 
grow
 
faint.
 
They
 
say
 
that
 
more
 
King-George-men
 
[settlers]
 
will
 
soon
 
be
 
here,
 
and
 
will
 
take
 
our
 
land,
 
our
 
firewood,
 
our
 
fishing
 
grounds;
 
that
 
we
 
shall
 
be
 
placed
 
on
 
a
 
little"
Ray Chapter 12 PLACED ON A LITTLE SPOT.pdf,"we
 
shall
 
be
 
placed
 
on
 
a
 
little
 
spot,
 
and
 
shall
 
have
 
to
 
do
 
everything
 
according
 
to
 
the
 
fancies
 
of
 
the
 
King-George-men.…
 
We
 
do
 
not
 
wish
 
to
 
sell
 
our
 
land
 
nor
 
our
 
water;
 
let
 
your
 
friends
 
stay
 
in
 
their
 
own
 
country.
 
—An
 
anonymous
 
Sechelt
 
chief
 
speaking
 
to
 
Gilbert
 
Sproat,
 
Port
 
Alberni,
 
August
 
1860.
 
Beyond
 
the
 
Rocky
 
Mountains,
 
the
 
years
 
between
 
1821
 
and
 
the
 
early
 
1870s
 
were"
Ray Chapter 12 PLACED ON A LITTLE SPOT.pdf,"between
 
1821
 
and
 
the
 
early
 
1870s
 
were
 
ones
 
of
 
accelerating
 
change
 
and
 
dangerous
 
disputes.
 
First
 
the
 
sea
 
otters
 
all
 
but
 
disappeared,
 
forcing
 
the
 
fur
 
trade
 
to
 
move
 
inland.
 
The
 
race
 
between
 
Americans
 
and
 
the
 
Hudson’s
 
Bay
 
Company
 
to
 
settle
 
the
 
Pacific
 
Northwest
 
began
 
in
 
1821
 
and
 
lasted
 
until
 
1846.
 
The
 
Americans
 
won
 
easily.
 
As
 
a
 
result,
 
Great
 
Britain
 
and
 
the
 
United
 
States"
Ray Chapter 12 PLACED ON A LITTLE SPOT.pdf,"Great
 
Britain
 
and
 
the
 
United
 
States
 
concluded
 
the
 
Oregon
 
Boundary
 
Treaty
 
in
 
1846,
 
which
 
gave
 
the
 
Americans
 
control
 
of
 
the
 
Native
 
territory
 
south
 
of
 
the
 
49th
 
parallel.
 
To
 
establish
 
a
 
stronger
 
British
 
presence
 
in
 
the
 
remainder
 
of
 
the
 
area
 
and
 
to
 
ward
 
off
 
any
 
further
 
Yankee
 
expansion,
 
the
 
Colonial
 
Office
 
gave
 
the
 
HBC
 
the
 
go-ahead
 
to
 
establish
 
an
 
agricultural
 
colony
 
on"
Ray Chapter 12 PLACED ON A LITTLE SPOT.pdf,"establish
 
an
 
agricultural
 
colony
 
on
 
southern
 
Vancouver
 
Island
 
and
 
to
 
develop
 
resources
 
elsewhere
 
on
 
the
 
island.
 
The
 
colony
 
had
 
barely
 
established
 
itself
 
when
 
a
 
sequence
 
of
 
gold
 
rushes
 
began
 
in
 
the
 
coastal
 
region.
 
These
 
various
 
developments
 
signalled
 
the
 
beginning
 
of
 
a
 
new
 
economic
 
order
 
in
 
the
 
West
 
that
 
would
 
present
 
new
 
opportunities
 
to
 
Native
 
people;
 
it
 
would
 
also
 
threaten"
Ray Chapter 12 PLACED ON A LITTLE SPOT.pdf,"Native
 
people;
 
it
 
would
 
also
 
threaten
 
their
 
future
 
and
 
security
 
as
 
the
 
newcomers
 
began
 
to
 
expropriate
 
Native
 
lands
 
and
 
resources.
 
 
HEREDIT ARY
 
LEADERS
 
AND
 
THE
 
HBC
 
 
When
 
Governor
 
Simpson
 
curtailed
 
beaver
 
exploitation
 
in
 
Rupert’s
 
Land
 
during
 
the
 
1820s
 
and
 
1830s
 
for
 
conservation
 
purposes,
 
he
 
tried
 
to
 
compensate
 
by
 
expanding
 
operations
 
in
 
other
 
districts,
 
including
 
New
 
Caledonia,
 
the"
Ray Chapter 12 PLACED ON A LITTLE SPOT.pdf,"districts,
 
including
 
New
 
Caledonia,
 
the
 
former
 
North
 
West
 
Company
 
fur-trading
 
area
 
to
 
the
 
west
 
of
 
the
 
Rocky
 
Mountains.
 
This
 
proved
 
to
 
be
 
a
 
very
 
difficult
 
and
 
costly
 
effort.
 
The
 
declining
 
stocks
 
of
 
sea
 
otter
 
had
 
encouraged
 
coastal
 
nations,
 
particularly
 
the
 
Tsimshian
 
of
 
the
 
lower
 
Skeena
 
River,
 
to
 
make
 
a
 
major
 
effort
 
to
 
expand
 
their
 
inland
 
trading
 
networks.
 
The
 
HBC
 
officers
 
found"
Ray Chapter 12 PLACED ON A LITTLE SPOT.pdf,"networks.
 
The
 
HBC
 
officers
 
found
 
themselves
 
battling
 
head
 
to
 
head
 
with
 
these
 
experienced
 
traders.
 
HBC
 
trader
 
William
 
Brown’s
 
account
 
of
 
his
 
time
 
in
 
New
 
Caledonia
 
gives
 
us
 
a
 
clear
 
picture
 
of
 
this
 
conflict
 
in
 
the
 
territories
 
of
 
the
 
Babine,
 
Gitxsan,
 
and
 
Wet’suwet’en
 
during
 
the
 
1820s.
 
The
 
company
 
dispatched
 
Brown
 
to
 
Babine
 
Lake,
 
where
 
he
 
established
 
Fort
 
Kilmaurs
 
(also
 
known
 
as"
Ray Chapter 12 PLACED ON A LITTLE SPOT.pdf,"Fort
 
Kilmaurs
 
(also
 
known
 
as
 
Old
 
Fort
 
Babine)
 
in
 
1822.
 
He
 
intended
 
to
 
use
 
this
 
post
 
as
 
a
 
base
 
to
 
extend
 
the
 
company’s
 
sphere
 
of
 
operations
 
northwestward.
 
Brown
 
found
 
himself
 
in
 
a
 
very
 
unfamiliar
 
world.
 
Because
 
he
 
had
 
spent
 
his
 
earlier
 
career
 
in
 
various
 
districts
 
to
 
the
 
east
 
of
 
the
 
Rocky
 
Mountains,
 
he
 
was
 
unaccustomed
 
to
 
dealing
 
with
 
hereditary
 
leaders
 
who
 
exerted"
Ray Chapter 12 PLACED ON A LITTLE SPOT.pdf,"with
 
hereditary
 
leaders
 
who
 
exerted
 
considerable
 
control
 
over
 
the
 
use
 
of
 
resources
 
on
 
their
 
lands
 
and
 
who
 
dominated
 
inter-nation
 
trading
 
relations.
 
 
A
 
succession
 
of
 
coast
 
Tsimshian
 
chiefs
 
bearing
 
the
 
hereditary
 
name
 
Legiac
 
led
 
the
 
Native
 
opposition
 
to
 
the
 
HBC.
 
When
 
Brown
 
arrived
 
on
 
the
 
scene,
 
these
 
people
 
were
 
in
 
the
 
process
 
of
 
strengthening
 
their
 
ties
 
with
 
the
 
Gitxsan
 
and"
Ray Chapter 12 PLACED ON A LITTLE SPOT.pdf,"their
 
ties
 
with
 
the
 
Gitxsan
 
and
 
Wet’suwet’en.
 
The
 
Tsimshian
 
already
 
held
 
regular
 
trading
 
fairs
 
at
 
the
 
forks
 
of
 
the
 
Skeena
 
and
 
Bulkley
 
rivers,
 
and
 
some
 
Gitxsan
 
and
 
Wet’suwet’en
 
undertook
 
frequent
 
expeditions
 
to
 
the
 
coast.
 
Brown
 
learned
 
that
 
he
 
would
 
have
 
great
 
difficulty
 
breaking
 
into
 
this
 
exchange
 
network
 
because
 
the
 
Tsimshian,
 
who
 
had
 
access
 
to
 
trading
 
ships
 
plying
 
the
 
coast,"
Ray Chapter 12 PLACED ON A LITTLE SPOT.pdf,"to
 
trading
 
ships
 
plying
 
the
 
coast,
 
were
 
able
 
to
 
provide
 
goods
 
at
 
much
 
cheaper
 
rates
 
than
 
he
 
could.
 
To
 
address
 
this
 
problem,
 
Brown
 
resorted
 
to
 
an
 
old
 
Nor’
 
Wester
 
strategy.
 
He
 
instructed
 
the
 
company
 
to
 
import
 
moose
 
hides
 
from
 
districts
 
lying
 
to
 
the
 
east
 
of
 
the
 
Rocky
 
Mountains.
 
The
 
Babine,
 
Gitxsan,
 
and
 
Wet’suwet’en
 
were
 
willing
 
to
 
pay
 
premium
 
prices
 
for
 
the
 
scarce"
Ray Chapter 12 PLACED ON A LITTLE SPOT.pdf,"pay
 
premium
 
prices
 
for
 
the
 
scarce
 
commodity,
 
which
 
they
 
presented
 
as
 
gifts
 
to
 
guests
 
at
 
funeral
 
feasts.
 
The
 
trade
 
in
 
moose
 
skins
 
remained
 
a
 
feature
 
of
 
the
 
company’s
 
business
 
in
 
Skeena
 
country
 
until
 
the
 
turn
 
of
 
this
 
century,
 
when
 
provincial
 
conservation
 
legislation
 
unfortunately
 
banned
 
the
 
traffic
 
in
 
game-animal
 
hides.
 
The
 
Babine
 
tossed
 
other
 
obstacles
 
in
 
Brown’s
 
way.
 
Like
 
most"
Ray Chapter 12 PLACED ON A LITTLE SPOT.pdf,"obstacles
 
in
 
Brown’s
 
way.
 
Like
 
most
 
of
 
the
 
nations
 
living
 
on
 
the
 
Pacific
 
slope,
 
the
 
Babine
 
were
 
experienced
 
fish
 
sellers.
 
They
 
knew
 
Brown
 
would
 
have
 
to
 
depend
 
on
 
them
 
for
 
fresh
 
and
 
dried
 
salmon
 
because
 
game
 
was
 
not
 
abundant
 
in
 
their
 
country—or
 
in
 
most
 
areas
 
of
 
New
 
Caledonia,
 
for
 
that
 
matter.
 
Soon
 
after
 
his
 
arrival,
 
the
 
Babine
 
informed
 
him
 
that
 
they
 
would
 
determine
 
the"
Ray Chapter 12 PLACED ON A LITTLE SPOT.pdf,"him
 
that
 
they
 
would
 
determine
 
the
 
price
 
he
 
would
 
have
 
to
 
pay
 
for
 
salmon
 
and
 
for
 
any
 
fishing
 
nets
 
that
 
he
 
required.
 
Brown
 
had
 
no
 
choice
 
but
 
to
 
pay
 
their
 
high
 
prices.
 
In
 
light
 
of
 
the
 
company’s
 
conservation
 
policies
 
elsewhere
 
at
 
this
 
time,
 
it
 
is
 
ironic
 
that
 
the
 
resource-management
 
methods
 
of
 
the
 
Babine,
 
Gitxsan,
 
and
 
Wet’suwet’en
 
proved
 
to
 
be
 
the
 
biggest
 
barrier
 
to"
Ray Chapter 12 PLACED ON A LITTLE SPOT.pdf,"proved
 
to
 
be
 
the
 
biggest
 
barrier
 
to
 
increasing
 
the
 
trade
 
in
 
beavers
 
from
 
the
 
upper
 
Skeena
 
country.
 
Brown
 
quickly
 
discovered
 
that
 
each
 
chief
 
permitted
 
an
 
annual
 
harvest
 
of
 
only
 
about
 
twenty-five
 
beavers
 
from
 
his
 
house
 
territory.
 
These
 
leaders,
 
whom
 
Brown
 
referred
 
to
 
as
 
“men
 
of
 
property,”
 
or
 
“nobles,”
 
limited
 
the
 
harvest
 
partly
 
by
 
denying
 
most
 
of
 
their
 
followers
 
the
 
right
 
to"
Ray Chapter 12 PLACED ON A LITTLE SPOT.pdf,"of
 
their
 
followers
 
the
 
right
 
to
 
hunt
 
beavers.
 
As
 
well,
 
they
 
jealously
 
guarded
 
their
 
domain
 
against
 
the
 
incursions
 
of
 
outsiders.
 
When
 
Governor
 
Simpson
 
visited
 
the
 
district,
 
he
 
reported
 
that
 
the
 
chiefs
 
regarded
 
any
 
trespass
 
on
 
their
 
houses’
 
lands
 
as
 
being
 
tantamount
 
to
 
a
 
declaration
 
of
 
war.
 
In
 
1826
 
Brown
 
tried
 
to
 
get
 
the
 
Babine
 
to
 
agree
 
to
 
abandon
 
their
 
limits
 
on
 
the
 
hunt"
Ray Chapter 12 PLACED ON A LITTLE SPOT.pdf,"to
 
abandon
 
their
 
limits
 
on
 
the
 
hunt
 
at
 
a
 
meeting
 
of
 
the
 
men
 
of
 
property
 
he
 
called
 
at
 
Fort
 
Kilmaurs.
 
After
 
having
 
learned
 
that
 
the
 
various
 
Carrier
 
nations,
 
which
 
included
 
the
 
Babine
 
and
 
Wet’suwet’en,
 
husbanded
 
the
 
beaver
 
because
 
they
 
prized
 
the
 
animal’s
 
flesh
 
as
 
a
 
ceremonial
 
food,
 
Brown
 
proposed
 
that
 
the
 
chiefs
 
permit
 
all
 
their
 
male
 
followers
 
to
 
trap
 
beavers,
 
provided
 
that"
Ray Chapter 12 PLACED ON A LITTLE SPOT.pdf,"to
 
trap
 
beavers,
 
provided
 
that
 
these
 
men
 
gave
 
the
 
meat
 
to
 
the
 
first
 
leader
 
who
 
sponsored
 
a
 
funeral
 
feast
 
in
 
any
 
given
 
year.
 
The
 
house
 
leaders
 
who
 
had
 
accepted
 
Brown’s
 
invitation
 
listened
 
politely
 
to
 
his
 
proposal
 
but
 
rejected
 
it.
 
 
The
 
elders
 
also
 
refused
 
to
 
give
 
commercial
 
trapping
 
activities
 
any
 
priority,
 
in
 
spite
 
of
 
Brown’s
 
repeated
 
call
 
for
 
them
 
to
 
do
 
so.
 
Instead,
 
the"
